"epoch","resnet50_imagenet - _step","resnet50_imagenet - _step__MIN","resnet50_imagenet - _step__MAX","resnet50_imagenet - val_acc","resnet50_imagenet - val_acc__MIN","resnet50_imagenet - val_acc__MAX","resnet18_imagenet - _step","resnet18_imagenet - _step__MIN","resnet18_imagenet - _step__MAX","resnet18_imagenet - val_acc","resnet18_imagenet - val_acc__MIN","resnet18_imagenet - val_acc__MAX","resnet18_S2 - _step","resnet18_S2 - _step__MIN","resnet18_S2 - _step__MAX","resnet18_S2 - val_acc","resnet18_S2 - val_acc__MIN","resnet18_S2 - val_acc__MAX","resnet50_S2 - _step","resnet50_S2 - _step__MIN","resnet50_S2 - _step__MAX","resnet50_S2 - val_acc","resnet50_S2 - val_acc__MIN","resnet50_S2 - val_acc__MAX"
"0","3","3","3","0.8897272944450378","0.8897272944450378","0.8897272944450378","3","3","3","0.9072554111480713","0.9072554111480713","0.9072554111480713","3","3","3","0.92191481590271","0.92191481590271","0.92191481590271","3","3","3","0.9230819940567017","0.9230819940567017","0.9230819940567017"
"1","7","7","7","0.9183228611946106","0.9183228611946106","0.9183228611946106","7","7","7","0.9160977005958557","0.9160977005958557","0.9160977005958557","7","7","7","0.9254142642021179","0.9254142642021179","0.9254142642021179","7","7","7","0.9291607737541199","0.9291607737541199","0.9291607737541199"
"2","11","11","11","0.921444833278656","0.921444833278656","0.921444833278656","11","11","11","0.9176656007766724","0.9176656007766724","0.9176656007766724","11","11","11","0.930239737033844","0.930239737033844","0.930239737033844","11","11","11","0.9315629601478577","0.9315629601478577","0.9315629601478577"
"3","15","15","15","0.925778329372406","0.925778329372406","0.925778329372406","15","15","15","0.9195356965065002","0.9195356965065002","0.9195356965065002","15","15","15","0.9301150441169739","0.9301150441169739","0.9301150441169739","15","15","15","0.9342034459114075","0.9342034459114075","0.9342034459114075"
"4","19","19","19","0.9249091744422913","0.9249091744422913","0.9249091744422913","19","19","19","0.9226367473602295","0.9226367473602295","0.9226367473602295","19","19","19","0.9331411719322205","0.9331411719322205","0.9331411719322205","19","19","19","0.9351380467414856","0.9351380467414856","0.9351380467414856"
"5","23","23","23","0.9279747009277344","0.9279747009277344","0.9279747009277344","23","23","23","0.9228084087371826","0.9228084087371826","0.9228084087371826","23","23","23","0.933632493019104","0.933632493019104","0.933632493019104","23","23","23","0.9355717897415161","0.9355717897415161","0.9355717897415161"
"6","27","27","27","0.9273698329925537","0.9273698329925537","0.9273698329925537","27","27","27","0.9212098717689514","0.9212098717689514","0.9212098717689514","27","27","27","0.9332433938980103","0.9332433938980103","0.9332433938980103","27","27","27","0.9365146160125732","0.9365146160125732","0.9365146160125732"
"7","31","31","31","0.9293426871299744","0.9293426871299744","0.9293426871299744","31","31","31","0.925229012966156","0.925229012966156","0.925229012966156","31","31","31","0.9352076649665833","0.9352076649665833","0.9352076649665833","31","31","31","0.9361289739608765","0.9361289739608765","0.9361289739608765"
"8","36","36","36","0.9290823340415955","0.9290823340415955","0.9290823340415955","36","36","36","0.92662113904953","0.92662113904953","0.92662113904953","36","36","36","0.9353839159011841","0.9353839159011841","0.9353839159011841","36","36","36","0.9377613663673401","0.9377613663673401","0.9377613663673401"
"9","40","40","40","0.9298804998397827","0.9298804998397827","0.9298804998397827","40","40","40","0.927268385887146","0.927268385887146","0.927268385887146","40","40","40","0.9355859756469727","0.9355859756469727","0.9355859756469727","40","40","40","0.9377771019935608","0.9377771019935608","0.9377771019935608"